1979	10	12	855	-4.11696
1979	10	13	467	-5.1576
1979	10	14	405	-6.55432
1979	10	15	287	-7.2
1979	10	16	311	-5.01608
1979	10	17	1121	-5.27297
1979	10	18	389	-9.30206
1979	10	19	2109	-9.94903
1979	10	20	8	-9.625
1979	11	01	4127	0.00659074
1979	11	02	2134	2.83472
1979	11	03	2261	4.25458
1979	11	04	13014	2.7236
1979	11	05	3103	4.58837
1979	11	06	703	6.29047
1979	11	07	773	7.39521
1979	11	08	1263	6.6152
1979	11	09	386	-2
1979	11	10	570	-4.9386
1979	11	11	1831	-2
1979	11	12	986	-4.13895
1979	11	13	423	-5.26478
1979	11	14	393	-6.62214
1979	11	15	214	-7.2
1979	11	16	402	-5.21841
1979	11	17	1051	-5.45309
1979	11	18	548	-9.23449
1979	11	19	1790	-9.94972
1979	11	20	18	-10
1979	12	01	4082	-0.00820676
1979	12	02	1922	2.82284
1979	12	03	2377	4.35612
1979	12	04	11941	2.79888
1979	12	05	3021	4.87067
1979	12	06	721	6.27184
1979	12	07	736	7.47826
1979	12	08	1300	6.79154
1979	12	09	353	-2
1979	12	10	551	-5
1979	12	11	1991	-2
1979	12	12	906	-4.21965
1979	12	13	349	-5.46934
1979	12	14	345	-6.62464
1979	12	15	181	-7.2
1979	12	16	415	-5.51133
1979	12	17	1122	-5.29287
1979	12	18	532	-9.22838
1979	12	19	1803	-9.93233
1980	01	01	5610	-0.021533
1980	01	02	2793	2.63838
1980	01	03	2747	4.32697
1980	01	04	13874	2.84193
1980	01	05	3271	4.55983
1980	01	06	1046	6.33843
1980	01	07	1023	7.52923
1980	01	08	1570	7.36624
1980	01	09	464	-2
1980	01	10	855	-4.96491
1980	01	11	3787	-2
1980	01	12	1310	-4.25649
1980	01	13	766	-5.17755
1980	01	14	910	-6.59341
1980	01	15	352	-7.2
1980	01	16	617	-5.60486
1980	01	17	1363	-5.28188
1980	01	18	578	-9.28633
1980	01	19	2445	-9.92004
1980	01	20	3	-10
1980	02	01	4664	-0.0368139
1980	02	02	2274	2.74046
1980	02	03	2382	4.33463
1980	02	04	12881	2.76027
1980	02	05	2883	4.55401
1980	02	06	894	6.24564
1980	02	07	777	7.46486
1980	02	08	1472	7.37636
1980	02	09	359	-2
1980	02	10	621	-5
1980	02	11	2318	-2
1980	02	12	988	-4.17004
1980	02	13	466	-5.13348
1980	02	14	477	-6.64885
1980	02	15	254	-7.2
1980	02	16	495	-5.34747
1980	02	17	1339	-5.29709
1980	02	18	560	-9.22054
1980	02	19	2306	-9.94102
1980	02	20	11	-10
1980	03	01	5127	-0.019173
1980	03	02	2519	2.86876
1980	03	03	3045	4.22998
1980	03	04	15188	2.82955
1980	03	05	3514	4.50521
1980	03	06	823	6.2729
1980	03	07	761	7.48949
1980	03	08	1544	6.8193
1980	03	09	476	-2
1980	03	10	725	-4.98621
1980	03	11	2136	-2
1980	03	12	1018	-4.17682
1980	03	13	439	-5.2533
1980	03	14	537	-6.58007
1980	03	15	310	-7.2
1980	03	16	478	-5.50921
1980	03	17	1124	-5.30765
1980	03	18	604	-9.21854
1980	03	19	2065	-9.95738
1980	03	20	8	-9.9375
1980	04	01	4750	-0.00595789
1980	04	02	2233	2.86986
1980	04	03	2880	4.30604
1980	04	04	14242	2.78313
1980	04	05	3078	4.59753
1980	04	06	876	6.32511
1980	04	07	914	7.45098
1980	04	08	1329	7.12641
1980	04	09	399	-2
1980	04	10	540	-5
1980	04	11	2100	-2
1980	04	12	914	-4.21663
1980	04	13	540	-5.16741
1980	04	14	459	-6.61765
1980	04	15	213	-7.2
1980	04	16	581	-5.46334
1980	04	17	1233	-5.29067
1980	04	18	602	-9.24252
1980	04	19	2513	-9.95125
1980	04	20	6	-10
1980	05	01	4342	0.0352833
1980	05	02	2207	2.91151
1980	05	03	2551	4.22744
1980	05	04	14415	2.82593
1980	05	05	3142	4.66655
1980	05	06	719	6.33463
1980	05	07	765	7.44248
1980	05	08	1099	7
1980	05	09	318	-2
1980	05	10	627	-5
1980	05	11	1982	-2
1980	05	12	1010	-4.22277
1980	05	13	487	-5.27187
1980	05	14	505	-6.59109
1980	05	15	223	-7.2
1980	05	16	585	-5.73265
1980	05	17	1416	-5.38503
1980	05	18	552	-9.30072
1980	05	19	2295	-9.95882
1980	05	20	5	-10
1980	06	01	5936	0.00220687
1980	06	02	2862	2.89189
1980	06	03	3222	4.25248
1980	06	04	16868	2.81241
1980	06	05	3576	4.50092
1980	06	06	814	6.36314
1980	06	07	973	7.47564
1980	06	08	1681	7.22903
1980	06	09	636	-2
1980	06	10	712	-4.97191
1980	06	11	3059	-2
1980	06	12	1305	-4.24061
1980	06	13	654	-5.21529
1980	06	14	412	-6.64078
1980	06	15	310	-7.2
1980	06	16	538	-5.48922
1980	06	17	1630	-5.32196
1980	06	18	775	-9.30258
1980	06	19	3602	-9.94836
1980	06	20	6	-10
1980	07	01	5656	-0.00424328
1980	07	02	2726	2.9777
1980	07	03	3044	4.23798
1980	07	04	17184	2.76775
1980	07	05	3397	4.48896
1980	07	06	935	6.29882
1980	07	07	970	7.45567
1980	07	08	1629	6.79742
1980	07	09	597	-2
1980	07	10	672	-4.9628
1980	07	11	2667	-2
1980	07	12	1150	-4.16174
1980	07	13	531	-5.30621
1980	07	14	537	-6.60801
1980	07	15	294	-7.2
1980	07	16	606	-5.33234
1980	07	17	1793	-5.33341
1980	07	18	756	-9.25926
1980	07	19	3049	-9.95359
1980	07	20	8	-10
1980	08	01	5349	-0.0529632
1980	08	02	2760	2.95014
1980	08	03	2581	4.24363
1980	08	04	13461	2.7454
1980	08	05	3280	4.64796
1980	08	06	763	6.27706
1980	08	07	841	7.45042
1980	08	08	1503	6.52495
1980	08	09	621	-2
1980	08	10	607	-4.94234
1980	08	11	2785	-2
1980	08	12	1111	-4.18902
1980	08	13	628	-5.43981
1980	08	14	662	-6.55438
1980	08	15	254	-7.2
1980	08	16	700	-5.12486
1980	08	17	1964	-5.35275
1980	08	18	600	-9.22583
1980	08	19	2791	-9.96274
1980	08	20	3	-10
1980	09	01	6279	-0.0324574
1980	09	02	3348	2.88202
1980	09	03	3478	4.27202
1980	09	04	15920	2.74796
1980	09	05	3573	4.48931
1980	09	06	967	6.34292
1980	09	07	1055	7.44976
1980	09	08	1670	6.54072
1980	09	09	592	-2
1980	09	10	653	-4.96172
1980	09	11	3131	-2
1980	09	12	1265	-4.16838
1980	09	13	649	-5.22404
1980	09	14	396	-6.55808
1980	09	15	299	-7.2
1980	09	16	644	-5.05217
1980	09	17	1834	-5.28833
1980	09	18	660	-9.33788
1980	09	19	3916	-9.96489
1980	09	20	4	-10
1980	10	01	7335	-0.0111111
1980	10	02	3672	2.87184
1980	10	03	3984	4.25798
1980	10	04	18266	2.6904
1980	10	05	4726	4.62031
1980	10	06	1087	6.37387
1980	10	07	1190	7.46244
1980	10	08	1932	6.6589
1980	10	09	648	-2
1980	10	10	902	-4.95011
1980	10	11	3965	-2
1980	10	12	1597	-4.1459
1980	10	13	1029	-5.31603
1980	10	14	603	-6.57297
1980	10	15	326	-7.2
1980	10	16	693	-4.71977
1980	10	17	2132	-5.34859
1980	10	18	934	-9.28105
1980	10	19	5393	-9.97015
1980	10	20	7	-10
1980	11	01	6556	-0.0133771
1980	11	02	3150	2.83381
1980	11	03	3677	4.25907
1980	11	04	17685	2.71046
1980	11	05	3837	4.68374
1980	11	06	840	6.38119
1980	11	07	1049	7.45643
1980	11	08	1812	6.56181
1980	11	09	620	-2
1980	11	10	723	-4.91701
